ixdat version = 0.2.1dev
name = RuO2 G-450OX-10cyc.txt AND timescan-RuO2G-450Ox-CV-10cyc.txt
technique = EC-MS
tstamp = 1608572231.4
backend_name = BackendBase(none, address=none)
id = 6
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M45' and 'M31' and 'M32' and 'M44' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M45,	M31,	M32,	M44,	M18
206,	1.04,	0.004673,	0.0,	9.906193589770142e-12,	6.628916761097189e-13,	9.341493495684796e-14,	1.363534105937732e-13,	1.1898631786053474e-12,	1.7677154033687288e-13,	4.9742e-12
208,	1.03,	0.004216,	0.0,	9.9008e-12,	6.624404726266216e-13,	9.654371366197012e-14,	1.3559675486655082e-13,	1.0999971669123576e-12,	1.81874622477655e-13,	4.961439052965365e-12
210,	1.02,	0.004003,	0.0,	9.985462129063931e-12,	6.553048516255728e-13,	9.40055116599389e-14,	1.341168639537421e-13,	1.036733725180013e-12,	1.8437346211542658e-13,	4.968297635282566e-12
212,	1.01,	0.003627,	0.0,	9.940280859720027e-12,	6.661641968424829e-13,	9.411576357541482e-14,	1.2070315585633312e-13,	9.792170449858527e-13,	1.814637070816154e-13,	4.972371487295105e-12
214,	1.0,	0.003153,	0.0,	9.860495493673426e-12,	6.749e-13,	9.423406298192867e-14,	1.1986004004142464e-13,	9.072849155847646e-13,	1.7641140211638315e-13,	4.9476e-12
216,	0.99,	0.0025610000000000003,	0.0,	9.919019411045499e-12,	6.568773128026719e-13,	9.280494080411095e-14,	1.1721338321322147e-13,	8.411927123896977e-13,	1.7539463669933443e-13,	4.9125825591546545e-12
218,	0.98,	0.0021509999999999997,	0.0,	9.93190072329342e-12,	6.664308791013173e-13,	9.43126308064909e-14,	1.1656650458148293e-13,	8.032240018644481e-13,	1.7367e-13,	4.981498138831112e-12
220,	0.97,	0.0015090000000000001,	0.0,	9.945049283534952e-12,	6.663450320088022e-13,	9.522639921386046e-14,	1.1252331282341379e-13,	7.682465802041514e-13,	1.7645168676194526e-13,	4.9742e-12
222,	0.96,	0.0006138,	0.0,	9.970180267062818e-12,	6.639418098714528e-13,	9.233891231069609e-14,	1.1330300056512248e-13,	7.35030669611933e-13,	1.7103813877031287e-13,	4.933016884598593e-12
224,	0.95,	0.00015419999999999998,	0.0,	9.99766583801957e-12,	6.669935309948693e-13,	9.102536455270396e-14,	1.128094260158684e-13,	7.031672636119887e-13,	1.7677046868754345e-13,	4.973374929409853e-12
226,	0.94,	-0.0006414,	0.0,	1.0013727558594075e-11,	6.6513e-13,	9.342124793401426e-14,	1.1526681816920456e-13,	6.694255526222802e-13,	1.778828311728435e-13,	4.935056155684768e-12
228,	0.93,	-0.001015,	0.0,	9.927065812805317e-12,	6.516878036097581e-13,	9.217320697817442e-14,	1.097773560679018e-13,	6.16913343112911e-13,	1.7336042135920068e-13,	4.987115233920846e-12
230,	0.92,	-0.001406,	0.0,	1.0003507534536093e-11,	6.677892246201388e-13,	9.655013632563993e-14,	1.136397964701915e-13,	6.194260272355563e-13,	1.7339289287650526e-13,	4.9476e-12
