ixdat version = 0.2.1dev
name = 01-Ru rgo 450H-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577186652.6
backend_name = BackendBase(none, address=none)
id = 9
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
206,	1.1657999999970199,	0.118,	0.0,	7.835881553646612e-11,	1.2978898064017936e-12,	1.1501223304699185e-12,	7.1937689325768445e-12,	1.8497174756888272e-11
208,	1.16573,	0.118,	0.0,	7.840292315303182e-11,	1.3218615411528361e-12,	1.1485115432219522e-12,	7.168934604084059e-12,	1.8408384633615986e-11
210,	1.1658099999940394,	0.118,	0.0,	7.797844574025446e-11,	1.3222233740510283e-12,	1.1714417165762526e-12,	7.466353457680935e-12,	1.85338451755739e-11
212,	1.1659,	0.118,	0.0,	7.813345267767123e-11,	1.3162441771313777e-12,	1.1669830422306575e-12,	7.65596219988413e-12,	1.8520726828016957e-11
214,	1.1659849999925496,	0.118,	0.0,	7.847414498037162e-11,	1.32754408333929e-12,	1.1305307685543274e-12,	7.463253853963674e-12,	1.8536704138984404e-11
216,	1.16608,	0.118,	0.0,	7.81332455180126e-11,	1.3194239684045987e-12,	1.1347545318813155e-12,	7.468445852315904e-12,	1.848978500285914e-11
218,	1.1661949999955297,	0.118,	0.0,	7.814215089495124e-11,	1.3058503957771234e-12,	1.1353903373010975e-12,	7.515046651924218e-12,	1.8357629180642016e-11
220,	1.16628,	0.118,	0.0,	7.845217169900758e-11,	1.3022869790530222e-12,	1.121177220326055e-12,	7.615319508142913e-12,	1.8463816539948988e-11
222,	1.1663649999955297,	0.118,	0.0,	7.807683982163516e-11,	1.3362228158200648e-12,	1.127101357735663e-12,	7.767001840868825e-12,	1.8469464083752957e-11
224,	1.16645,	0.118,	0.0,	7.849315087335505e-11,	1.279926126633661e-12,	1.1287910237045452e-12,	7.668239847788304e-12,	1.8528e-11
226,	1.1665249999955296,	0.118,	0.0,	7.806940540224481e-11,	1.3069405385538804e-12,	1.1342972975411147e-12,	7.675166675576536e-12,	1.859736937168714e-11
228,	1.1666,	0.118,	0.0,	7.808105617109145e-11,	1.3088634094470194e-12,	1.0952406269045273e-12,	7.781021137571761e-12,	1.8526249510230837e-11
230,	1.1666949999955296,	0.118,	0.0,	7.79802031903697e-11,	1.33719309337941e-12,	1.133627928622399e-12,	7.703161361992884e-12,	1.8624414417521257e-11
232,	1.16678,	0.118,	0.0,	7.816087872581956e-11,	1.3009532495466754e-12,	1.1051677491121613e-12,	7.964998542825059e-12,	1.8325630180784307e-11
234,	1.1668800000029802,	0.118,	0.0,	7.816129486925068e-11,	1.333160256466928e-12,	1.103157692550054e-12,	8.039370509877206e-12,	1.8525089740852624e-11
236,	1.16693,	0.118,	0.0,	7.835697726347183e-11,	1.3354970417284265e-12,	1.1051613356990227e-12,	7.768269629280247e-12,	1.8491759333123914e-11
238,	1.1670149999955297,	0.118,	0.0,	7.815685502856321e-11,	1.2769147931448307e-12,	1.138686981874544e-12,	8.069151184169193e-12,	1.8611062127323992e-11
240,	1.16708,	0.118,	0.0,	7.841963798746491e-11,	1.3271287983326688e-12,	1.123e-12,	7.9675e-12,	1.8503e-11
242,	1.1671599999940396,	0.118,	0.0,	7.792678600073736e-11,	1.3274845169930852e-12,	1.1257549308915256e-12,	8.247359760584469e-12,	1.8540697239423053e-11
244,	1.16725,	0.118,	0.0,	7.812252372076904e-11,	1.3163378695253071e-12,	1.1288408299130218e-12,	8.242770687139315e-12,	1.867621890965111e-11
246,	1.1674149999955297,	0.118,	0.0,	7.795385092396143e-11,	1.3501367320905656e-12,	1.125321720551489e-12,	8.05142202078227e-12,	1.835956558897022e-11
